PolicyReplicaVM Mode;getMaxSmartThings;Total consumido Coudlets;Coudlets averageEnergyHistoryDevice;Total consumido AP(AP DEVICES);AP DEVICES averageEnergyHistoryDevice;SmartThing(0) Power;SmartThing(1) Power;SmartThing(2) Power;SmartThing(3) Power;SmartThing(4) Power;SmartThing(5) Power;SmartThing(6) Power;SmartThing(7) Power;SmartThing(8) Power;SmartThing(9) Power;SmartThing(0) Energy Consumed;SmartThing(1) Energy Consumed;SmartThing(2) Energy Consumed;SmartThing(3) Energy Consumed;SmartThing(4) Energy Consumed;SmartThing(5) Energy Consumed;SmartThing(6) Energy Consumed;SmartThing(7) Energy Consumed;SmartThing(8) Energy Consumed;SmartThing(9) Energy Consumed;VM data transferred in migration;getVMTransferredData / CloudSim.clock;Device's network usage;deviceNetworkUsage / CloudSim.clock;Migration' network usage (total);Migration' network usage (mean);getNetWorkUsageInMigration / CloudSim.clock;Total network usage;getNetworkUsage() / CloudSim.clock;CloudSim.clock;Total of migrations;Total of handoff;Different Cloudlets reached along the user's path;Average of without connection;Average of without Vm;Average of delay after new Connectionl;Average of Time of Migrations;Hightest Time of Migrations;Average of Downtime;Max Downtime;Tuple lost;Tuple lost;Total tuple;
MIGRATION_COMPLETE_VM;7;4.37268640136144E10;3.0365877787232226E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;0;0;2.8425147823291355E8;5.813683878855241E7;5.055963922977229E7;2.403694336587859E8;2.497461702358171E8;1.5165726188994944E8;1.2462478486629408E7;0;0;0;2304.0;6.361126449475428E-4;1.75345914E8;48.411351187189396;2.4828938443974285E10;1.9099183418441758E9;6855.035462168494;2.5004284357974285E10;6903.446813355683;3622000.0;13;46;46;1057.7568646769573;431813.1992174707;453895.1437786218;99681.11746773928;102269.75812277601;99681.11746773928;609210.2854937984;12.26187127969742%;657889;5365323;
LIVE_MIGRATION_POSTCOPY;7;4.4301718020186844E10;3.0765081958463085E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;0;0;3.00529583872466E8;5.913398297440541E7;5.6324813943582796E7;2.6052085906826705E8;2.50195332606915E8;1.7609880443204245E8;2.3392952295472242E7;0;0;0;3072.0;8.481501932633904E-4;3.7733721E8;104.17924075096631;3.350519055861809E10;1.9708935622716525E9;9250.4667472717;3.388252776861809E10;9354.645988022665;3622000.0;17;46;46;1057.7568646769573;332948.71295047825;506237.8844861415;128188.98903273049;132948.70767611734;19228.34835490957;118610.12884429879;0.059657285794485676%;5224;8756684;
LIVE_MIGRATION_PRECOPY;7;4.430344039136223E10;3.07662780495571E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;0;0;3.004543942570355E8;5.9098336541023605E7;5.6291783794869184E7;2.6049173608849442E8;2.5015523937476563E8;1.7605815055341953E8;2.3395342293686096E7;0;0;0;3072.0;8.481501932633904E-4;3.76169112E8;103.85673992269464;3.5180450086548996E10;2.069438240385235E9;9712.990084635283;3.5556619198548996E10;9816.846824557977;3622000.0;17;46;46;1057.7568646769573;317231.7096606026;492848.7141222086;197179.26560335676;204533.22300655188;9858.963280167842;60820.59066956323;0.05963810089393049%;5210;8736026;
LIVE_MIGRATION_MIRROR;7;4.4298043038884674E10;3.0762529888114357E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;0;0;2.994309423349139E8;5.8683795373455934E7;5.578682790658548E7;2.602145616611365E8;2.4976437606886464E8;1.7553453230815542E8;2.3386904329727054E7;0;0;0;3072.0;8.481501932633904E-4;3.73836144E8;103.21262948647156;4.523200725413443E10;2.660706309066731E9;12488.130108816795;4.560584339813443E10;12591.342738303267;3622000.0;17;46;46;1057.7568646769573;296731.72866349755;489587.0406386276;256313.78131600644;265891.3790040673;3125.693838843292;20339.563263506174;0.05991069927644099%;5214;8702953;
MIGRATION_COMPLETE_VM;8;4.385063727008235E10;3.045183143755719E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;0;2.845444462840594E8;5.810796528683801E7;5.076729494859193E7;2.403004830675768E8;2.495604359553916E8;1.5191759969838685E8;1.2392012801319188E7;1.089894263011072E7;0;0;2432.0;6.714522363335174E-4;1.78892478E8;49.39052401987852;2.617119036094287E10;2.0131684893032978E9;7225.618542502173;2.635008283894287E10;7275.009066522051;3622000.0;13;48;48;1065.053042118314;432332.94426933065;454241.14832461404;100192.22588183814;102270.04293594167;100192.22588183814;609680.3136597114;11.85897336180401%;686113;5785602;
LIVE_MIGRATION_POSTCOPY;8;4.432828681290848E10;3.078353250896422E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;0;2.999737215408638E8;5.830562421192357E7;5.556940941371359E7;2.6079441490981206E8;2.5000091337247723E8;1.7552869190982643E8;2.3092581158932347E7;3.3234730762070775E7;0;0;3200.0;8.83489784649365E-4;4.05546456E8;111.96754721148537;3.479811023804486E10;2.0469476610614624E9;9607.429662629724;3.520365669404486E10;9719.397209841209;3622000.0;17;48;47;1066.6671273479349;327277.01591833134;482827.48888084915;129026.63669121148;132948.992489283;19353.99550368172;118814.57719763127;0.05827656939290832%;5596;9602487;
LIVE_MIGRATION_PRECOPY;8;4.44317837878149E10;3.0855405408204794E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;0;3.0152102745157826E8;5.8289010310672216E7;5.55605811595547E7;2.6148011290787333E8;2.5015969983424434E8;1.755925162023605E8;2.3091986719273243E7;3.323814877689693E7;0;0;3200.0;8.83489784649365E-4;4.00726164E8;110.63671010491441;3.6504376721095276E10;2.1473162777114868E9;10078.513727524924;3.6905102885095276E10;10189.150437629838;3622000.0;17;48;48;1065.053042118314;313063.3355164796;472020.67283341463;198744.9440193352;204533.50781971755;9937.247200966764;60923.36696695685;0.058989527548560634%;5621;9528810;
LIVE_MIGRATION_MIRROR;8;4.4428980827439476E10;3.0853458907944083E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;0;2.995132122894975E8;5.826881661006181E7;5.542904485752155E7;2.6046315314957663E8;2.501146702355957E8;1.7555252901618114E8;2.3080041946001876E7;3.327804708651848E7;0;0;3200.0;8.83489784649365E-4;3.9712944E8;109.64368856985091;4.6934198641408226E10;2.760835214200484E9;12958.089078246336;4.7331328081408226E10;13067.732766816187;3622000.0;17;48;48;1065.053042118314;294834.41594468406;470262.8155753907;258341.25718895358;265891.66381723294;3124.21136346479;20061.737285116673;0.05913454922562806%;5595;9461474;
MIGRATION_COMPLETE_VM;9;4.385187039702658E10;3.04526877757129E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;2.8456714446211916E8;5.826339548027585E7;5.061202065947816E7;2.4006225363779253E8;2.4942523478542444E8;1.517832410497398E8;1.2464698550797815E7;1.0992245025371028E7;1.5321125629626667E8;0;2944.0;8.128106018774158E-4;1.8388383E8;50.768589177250135;3.1698645618319904E10;1.8646262128423474E9;8751.696747189371;3.1882529448319904E10;8802.465336366622;3622000.0;17;58;57;1066.5914494491972;432164.3135764018;488453.28825502854;100029.17485506418;102269.95616302297;100029.17485506418;710272.7756078204;13.849436703276913%;859774;6208007;
LIVE_MIGRATION_POSTCOPY;9;4.450217460570054E10;3.0904287920625377E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;3.00358471440363E8;5.896127891296448E7;5.616921075032946E7;2.6102148898878723E8;2.505436724677276E8;1.7603206442619264E8;2.3431633455969214E7;3.356077850702304E7;1.5377007515165478E8;0;3712.0;0.0010248481501932633;4.5646089E8;126.02454168967421;4.037138701616991E10;2.0185693508084953E9;11146.158756535038;4.082784790616991E10;11272.183298224712;3622000.0;20;58;57;1060.6138139194547;323828.1017852258;463809.8953761287;128605.78813967985;132948.9057163643;19290.868220951976;138327.5784559122;0.06475018682915026%;7006;10820046;
